"Time (s)","Illuminance (lx)"
3.789923000E-3,2.000000000E0
6.208621610E-1,4.000000000E0
6.608670840E-1,6.000000000E0
7.008486990E-1,7.000000000E0
8.608570070E-1,6.000000000E0
9.008572380E-1,5.000000000E0
9.408747770E-1,4.000000000E0
9.808459310E-1,3.000000000E0
1.060868085E0,2.000000000E0
1.140853008E0,1.000000000E0
1.180865008E0,0.000000000E0
3.980858553E0,4.000000000E0
4.020863477E0,6.000000000E0
4.060875477E0,1.000000000E1
4.100880631E0,1.300000000E1
4.140861938E0,1.500000000E1
4.220879169E0,1.400000000E1
4.340870862E0,1.500000000E1
4.380882862E0,1.400000000E1
4.420857247E0,1.300000000E1
4.460869631E0,9.000000000E0
4.500874478E0,6.000000000E0
4.540856093E0,4.000000000E0
4.580861016E0,0.000000000E0
5.020867094E0,9.000000000E0
5.060872094E0,1.800000000E1
5.100884094E0,2.800000000E1
5.140858556E0,3.700000000E1
5.180870787E0,3.800000000E1
5.460866249E0,2.800000000E1
5.500877942E0,1.900000000E1
5.540852634E0,9.000000000E0
5.580864403E0,0.000000000E0
6.020863481E0,9.000000000E0
6.060876020E0,1.900000000E1
6.100880943E0,2.800000000E1
6.140862251E0,3.700000000E1
6.180867405E0,3.800000000E1
6.420857559E0,3.700000000E1
6.460869944E0,2.800000000E1
6.500874790E0,1.900000000E1
6.540856098E0,9.000000000E0
6.580860944E0,0.000000000E0
6.980855176E0,4.000000000E0
7.020867099E0,7.000000000E0
7.060872638E0,1.100000000E1
7.100884638E0,1.600000000E1
7.220876100E0,1.700000000E1
7.260857253E0,1.600000000E1
7.460866177E0,1.200000000E1
7.500878254E0,8.000000000E0
7.540852639E0,4.000000000E0
7.580864947E0,0.000000000E0
8.020863486E0,9.000000000E0
8.060876025E0,1.900000000E1
8.100880640E0,2.800000000E1
8.140862179E0,3.800000000E1
8.420857333E0,3.700000000E1
8.460869641E0,3.000000000E1
8.500874564E0,2.100000000E1
8.540856333E0,1.100000000E1
8.580861026E0,2.000000000E0
8.620873334E0,0.000000000E0
9.020841309E0,2.000000000E0
9.060846232E0,6.000000000E0
9.100858617E0,1.000000000E1
9.140832771E0,1.500000000E1
9.180845309E0,1.600000000E1
9.220849925E0,1.700000000E1
9.300836694E0,1.800000000E1
9.380853694E0,1.700000000E1
9.460840694E0,1.500000000E1
9.500852464E0,1.100000000E1
9.540826541E0,7.000000000E0
